"id","route_name","route_link","busname","bustype","departing_time","duration","reaching_time","star_rating","price","seats_available"
1,"Digha to Kolkata","https://www.redbus.in/bus-tickets/digha-to-kolkata","Snemita Paribahan(Shinjini)","A/C Seater (2+3)","","05h 25m","",3.8,"288.00",0
2,"Digha to Kolkata","https://www.redbus.in/bus-tickets/digha-to-kolkata","City Express (Shinjini)","AC Seater (2+3)","","05h 25m","",3.6,"288.00",0
3,"Digha to Kolkata","https://www.redbus.in/bus-tickets/digha-to-kolkata","Satya Paribahan","A/C Seater (2+3)","","04h 45m","",3,"320.00",0
4,"Digha to Kolkata","https://www.redbus.in/bus-tickets/digha-to-kolkata","Parameswar Travels","A/C Seater Push Back (2+3)","","05h 35m","",3.4,"238.00",0
5,"Digha to Kolkata","https://www.redbus.in/bus-tickets/digha-to-kolkata","The Joy Ride","A/C Seater / Sleeper (2+2)","","05h 15m","",3.9,"520.00",0
6,"Digha to Kolkata","https://www.redbus.in/bus-tickets/digha-to-kolkata","Snemita Paribahan (Shinjini)","AC Seater (2+3)","","04h 40m","",2.3,"288.00",0
7,"Digha to Kolkata","https://www.redbus.in/bus-tickets/digha-to-kolkata","Parameswar Travels","A/C Seater Push Back (2+3)","","06h 00m","",1.6,"238.00",0
8,"Digha to Kolkata","https://www.redbus.in/bus-tickets/digha-to-kolkata","Aradhana Travels","A/C Seater / Sleeper (2+2)","","04h 25m","",1.5,"450.00",20
9,"Digha to Kolkata","https://www.redbus.in/bus-tickets/digha-to-kolkata","Aradhana Travels","A/C Seater / Sleeper (2+1)","","04h 29m","",1.6,"450.00",39
10,"Digha to Kolkata","https://www.redbus.in/bus-tickets/digha-to-kolkata","Snemita Parisheba(Santosh)","A/C Seater Push Back (2+3)","","05h 20m","",2.2,"333.00",0
11,"Digha to Kolkata","https://www.redbus.in/bus-tickets/digha-to-kolkata","Snemita Paribahan","A/C Seater (2+3)","","04h 30m","",2.1,"333.00",0
12,"Digha to Kolkata","https://www.redbus.in/bus-tickets/digha-to-kolkata","Aradhana Bus Service","A/C Seater / Sleeper (2+2)","","05h 00m","",1.2,"550.00",0
13,"Digha to Kolkata","https://www.redbus.in/bus-tickets/digha-to-kolkata","Arunita Paribahan","A/C Seater (2+3)","","04h 55m","",1.7,"333.00",0
14,"Digha to Kolkata","https://www.redbus.in/bus-tickets/digha-to-kolkata","RAYAN","A/C Seater / Sleeper (2+1)","","05h 20m","",2.3,"500.00",0
15,"Digha to Kolkata","https://www.redbus.in/bus-tickets/digha-to-kolkata","Aradhana Travels","Non AC Seater (2+3)","","05h 40m","",1.5,"450.00",0
16,"Kolkata to Digha","https://www.redbus.in/bus-tickets/kolkata-to-digha","SBSTC-KOLKATA - DIGHA - 23:30 (DIGHA DEPOT) - 3988","Non AC Seater (2+3)","","04h 30m","",3.9,"155.00",0
17,"Kolkata to Digha","https://www.redbus.in/bus-tickets/kolkata-to-digha","SBSTC-GARIA - DIGHA - 22:30 (DIGHA DEPOT) - 3745","Non AC Seater (2+3)","","04h 30m","",4.3,"155.00",0
18,"Kolkata to Digha","https://www.redbus.in/bus-tickets/kolkata-to-digha","Shyamoli Paribahan Pvt Ltd","VE A/C Seater (2+2)","","05h 00m","",4.6,"300.00",0
19,"Kolkata to Digha","https://www.redbus.in/bus-tickets/kolkata-to-digha","Sagufta Travels(Maa Chandi)","A/C Seater / Sleeper (2+2)","","05h 13m","",4.3,"338.00",0
20,"Kolkata to Digha","https://www.redbus.in/bus-tickets/kolkata-to-digha","Mayuri Express","AC Seater (2+2)","","05h 15m","",4.1,"280.00",0
21,"Kolkata to Digha","https://www.redbus.in/bus-tickets/kolkata-to-digha","AdSagufta Travels (Santosh)","A/C Seater / Sleeper (2+2)","","04h 10m","",3.6,"324.00",0
22,"Kolkata to Digha","https://www.redbus.in/bus-tickets/kolkata-to-digha","Express Line","VE A/C Seater (2+2)","","05h 00m","",4.3,"299.00",0
23,"Kolkata to Digha","https://www.redbus.in/bus-tickets/kolkata-to-digha","Maa Chandi Travels","A/C Seater / Sleeper (2+2)","","05h 13m","",4.1,"400.00",0
24,"Kolkata to Digha","https://www.redbus.in/bus-tickets/kolkata-to-digha","Sagufta Travels (Bhorpet Travels)","AC Seater (2+2)","","04h 40m","",4.3,"338.00",0
25,"Kolkata to Digha","https://www.redbus.in/bus-tickets/kolkata-to-digha","Parameswar Travels","A/C Seater Push Back (2+3)","","05h 15m","",3.2,"213.00",0
26,"Kolkata to Digha","https://www.redbus.in/bus-tickets/kolkata-to-digha","Parameswar Travels","A/C Seater Push Back (2+3)","","05h 01m","",3.2,"213.00",0
27,"Kolkata to Digha","https://www.redbus.in/bus-tickets/kolkata-to-digha","Snemita Paribahan (Bhorpet)","AC Seater (2+2)","","04h 50m","",3.7,"320.00",0
28,"Kolkata to Digha","https://www.redbus.in/bus-tickets/kolkata-to-digha","City Express (Shinjini)","AC Seater (2+2)","","04h 50m","",3.9,"320.00",0
29,"Kolkata to Digha","https://www.redbus.in/bus-tickets/kolkata-to-digha","Sagufta Travels(Angel)","A/C Seater (2+2)","","05h 12m","",4.2,"291.00",0
30,"Kolkata to Digha","https://www.redbus.in/bus-tickets/kolkata-to-digha","Sagufta Travels (Mayuri)","A/C Seater (2+2)","","04h 45m","",3.8,"338.00",0
31,"Kolkata to Digha","https://www.redbus.in/bus-tickets/kolkata-to-digha","City Express (Shinjini)","AC Seater (2+3)","","05h 05m","",2.9,"333.00",0
32,"Kolkata to Digha","https://www.redbus.in/bus-tickets/kolkata-to-digha","Parameswar Travels","A/C Seater Push Back (2+3)","","05h 05m","",2.5,"285.00",0
33,"Kolkata to Digha","https://www.redbus.in/bus-tickets/kolkata-to-digha","Parameswar Travels","A/C Seater Push Back (2+3)","","05h 55m","",2.2,"230.00",0
34,"Kolkata to Digha","https://www.redbus.in/bus-tickets/kolkata-to-digha","Sagufta Travels (Maity)","A/C Seater (2+3)","","04h 55m","",3.1,"291.00",0
35,"Kolkata to Digha","https://www.redbus.in/bus-tickets/kolkata-to-digha","Snemita Paribahan(Shinjini)","A/C Seater (2+3)","","04h 40m","",2.6,"320.00",0
36,"Kolkata to Digha","https://www.redbus.in/bus-tickets/kolkata-to-digha","Sagufta Travels (Atithi)","A/C Seater Push Back (2+3)","","05h 01m","",2.8,"291.00",0
37,"Kolkata to Digha","https://www.redbus.in/bus-tickets/kolkata-to-digha","Bengal Surface Transport","A/C Seater / Sleeper (2+2)","","05h 05m","",3,"440.00",0
38,"Kolkata to Digha","https://www.redbus.in/bus-tickets/kolkata-to-digha","Snemita Paribahan (ANGEL)","A/C Seater Push Back (2+2)","","05h 02m","",1.7,"320.00",0
39,"Kolkata to Digha","https://www.redbus.in/bus-tickets/kolkata-to-digha","Arunita Paribahan","AC Seater (2+2)","","05h 00m","",4.1,"320.00",0
40,"Kolkata to Digha","https://www.redbus.in/bus-tickets/kolkata-to-digha","Ankita Paribahan(Atithi)","A/C Seater (2+3)","","05h 05m","",3,"378.00",0
41,"Kolkata to Digha","https://www.redbus.in/bus-tickets/kolkata-to-digha","Sagufta Travels(Lokenath)","A/C Seater Push Back (2+3)","","05h 00m","",2.3,"291.00",0
42,"Kolkata to Digha","https://www.redbus.in/bus-tickets/kolkata-to-digha","Snemita Paribahan (Shinjini)","AC Seater (2+2)","","04h 50m","",3.5,"320.00",0
43,"Kolkata to Digha","https://www.redbus.in/bus-tickets/kolkata-to-digha","Ankita Paribahan(Atithi)","A/C Seater Push Back (2+3)","","06h 40m","",3.1,"378.00",0
44,"Kolkata to Digha","https://www.redbus.in/bus-tickets/kolkata-to-digha","Samanta Travels","A/C Seater (2+3)","","04h 40m","",2.2,"300.00",61
45,"Kolkata to Digha","https://www.redbus.in/bus-tickets/kolkata-to-digha","Bengal Surface Transport","A/C Seater Push Back (2+3)","","05h 01m","",2,"319.00",0
46,"Kolkata to Digha","https://www.redbus.in/bus-tickets/kolkata-to-digha","Haimanti Bus Service","AC Seater (2+3)","","05h 40m","",1.8,"230.00",0
47,"Kolkata to Digha","https://www.redbus.in/bus-tickets/kolkata-to-digha","Ankita Paribahan( Haimanti)","A/C Seater Push Back (2+3)","","04h 15m","",3,"333.00",0
48,"Kolkata to Digha","https://www.redbus.in/bus-tickets/kolkata-to-digha","Basu Travels","A/C Seater Push Back (2+3)","","05h 00m","",3.5,"399.00",0
49,"Kolkata to Digha","https://www.redbus.in/bus-tickets/kolkata-to-digha","Ankita Paribahan (Maity Motor)","A/C Seater Push Back (2+3)","","04h 40m","",3.1,"360.00",0
50,"Kolkata to Digha","https://www.redbus.in/bus-tickets/kolkata-to-digha","SANTOSH BUS SERVICE","AC Seater (2+3)","","04h 35m","",3.3,"299.00",46
